episode,avg_score,avg_max_tile,loss,actor_loss,critic_loss,entropy,elapsed_s
10050,5191.0,390.4,0.1175,0.04865,0.14059,0.14458,16.6
10100,5396.4,401.9,0.20079,0.04271,0.31834,0.10918,33.8
10150,5387.2,392.6,0.15199,0.08314,0.14142,0.18603,49.9
10200,5155.2,377.3,0.23962,0.03582,0.41145,0.19259,66.0
10250,5443.4,392.3,0.05881,-0.00974,0.14148,0.21926,83.9
10300,5771.6,401.9,0.09492,0.0326,0.12681,0.10867,101.7
10350,5578.0,401.3,0.13088,0.07526,0.11657,0.26671,118.3
10400,5280.8,384.6,0.10699,0.05908,0.10009,0.21402,134.7
10450,5110.7,369.9,0.18336,0.01754,0.33419,0.1269,150.6
10500,4999.3,366.7,0.03491,-0.00679,0.08663,0.16165,166.2
10550,5001.5,365.4,0.12917,0.00052,0.25962,0.1158,182.0
10600,4977.6,362.9,0.16319,0.04017,0.24869,0.13226,197.6
10650,5281.5,387.2,0.12202,0.04093,0.16492,0.13709,214.9
10700,5518.7,400.0,0.49781,0.02621,0.94529,0.10541,231.7
10750,5437.2,385.6,0.27869,-0.07406,0.7096,0.20514,248.6
10800,5080.9,357.4,0.17193,0.0296,0.28672,0.10242,263.5
10850,5487.2,383.4,0.11884,0.04039,0.16031,0.17038,282.5
10900,5981.1,426.2,0.09362,0.01853,0.1544,0.21083,299.9
10950,5532.7,394.9,0.22175,0.05611,0.33483,0.17772,316.8
11000,5470.2,389.1,0.13583,-0.01259,0.30033,0.17455,333.9
11050,5201.3,377.0,0.12698,0.00795,0.23988,0.09054,349.4
11100,5391.0,385.3,0.18164,-0.00617,0.37807,0.12224,367.5
11150,6106.2,421.1,0.1771,0.01762,0.32269,0.1862,386.6
11200,5782.7,400.6,0.0731,0.01534,0.11816,0.13198,402.9
11250,5514.5,387.2,0.30224,0.00607,0.59381,0.07376,420.5
11300,5780.9,396.2,0.43453,-0.01155,0.89417,0.10028,438.6
11350,5404.8,377.0,0.37932,-0.05568,0.87239,0.11948,454.2
11400,5447.1,389.8,-0.01286,-0.05633,0.09055,0.18033,472.0
11450,5800.9,404.5,0.18576,0.00236,0.36946,0.13386,489.7
11500,5639.4,381.4,0.49653,0.02102,0.95336,0.11699,507.4
11550,5861.2,402.6,0.05823,0.04853,0.02377,0.21838,525.9
11600,6067.1,423.0,0.21428,0.05403,0.32437,0.19346,544.3
11650,5950.8,412.8,0.07542,0.04128,0.0713,0.15145,562.5
11700,5789.5,411.5,0.2477,0.0602,0.38016,0.25803,579.9
11750,5599.7,401.0,0.25867,0.1393,0.24387,0.25612,597.1
11800,5409.7,398.1,1.04034,0.05838,1.9738,0.49497,613.3
11850,5448.0,401.6,0.21249,0.1551,0.12094,0.3088,630.6
11900,5759.6,390.4,0.17004,0.12831,0.08884,0.26898,648.9
11950,5849.2,406.4,0.30942,0.12802,0.37024,0.37251,666.3
12000,5589.1,405.1,0.16182,0.12702,0.07573,0.30632,683.1
12050,5589.8,400.0,0.24662,0.14872,0.20171,0.2952,700.7
12100,5743.5,420.5,0.54614,-0.06262,1.22371,0.30941,718.0
12150,5733.8,413.4,0.10159,0.00636,0.19399,0.17715,735.5
12200,5533.9,393.0,0.08862,0.05184,0.0762,0.13205,751.9
12250,5281.0,377.0,0.22444,0.03517,0.38289,0.21652,768.3
12300,5485.8,386.6,0.1159,0.03263,0.17034,0.18963,785.9
12350,5733.3,391.7,0.28006,0.06961,0.4239,0.14981,803.6
12400,5383.2,366.7,0.20418,0.11335,0.18601,0.21773,819.4
12450,5375.5,378.9,0.10114,0.07314,0.06004,0.20231,836.9
12500,5435.9,387.2,0.28204,0.08033,0.41027,0.34166,853.1
12550,5407.4,395.5,0.11964,0.09149,0.06049,0.2098,870.4
12600,5683.4,418.6,0.31035,0.06146,0.50086,0.1544,887.6
12650,5530.3,394.2,0.20772,0.10651,0.20761,0.25927,904.3
12700,5706.6,400.6,0.63806,0.13126,1.01773,0.20656,922.5
12750,5386.2,386.6,0.23846,0.07112,0.34228,0.37893,937.4
12800,5224.2,372.8,0.23683,0.10509,0.26739,0.19507,954.8
12850,5642.9,404.2,0.15263,0.10642,0.09623,0.19034,971.8
12900,5293.5,382.1,0.10862,0.03063,0.15934,0.16839,987.7
12950,5458.8,380.8,0.14566,0.08826,0.11848,0.18328,1005.8
13000,6024.8,414.7,0.1277,0.07963,0.10082,0.23456,1024.4
13050,5997.4,413.4,0.15287,0.1371,0.03601,0.22318,1042.3
13100,5949.9,414.7,0.27292,0.10373,0.34288,0.22496,1060.5
13150,5757.8,401.9,0.39545,0.08054,0.6337,0.19405,1077.4
13200,5620.9,400.0,0.21011,0.08283,0.25929,0.23651,1094.9
13250,5874.0,435.2,0.1279,0.09778,0.06441,0.20912,1112.7
13300,5877.9,439.0,0.64248,-0.10875,1.50848,0.30051,1130.1
13350,5954.0,419.2,0.29136,0.07706,0.43179,0.15979,1148.8
13400,5474.8,382.1,0.15939,0.09923,0.12382,0.17517,1164.1
13450,5335.6,376.3,0.31308,0.10505,0.42106,0.25025,1182.0
13500,5847.6,414.7,0.11049,0.08308,0.0588,0.19858,1199.7
13550,6042.4,426.2,0.15778,0.09492,0.12979,0.20301,1218.8
13600,6032.8,416.6,0.28405,0.07359,0.42426,0.16772,1236.7
13650,5961.1,413.4,0.2732,0.03069,0.48833,0.16576,1255.2
13700,6060.5,410.2,0.22204,0.05833,0.33157,0.20688,1273.8
13750,5815.9,393.0,0.14722,0.02037,0.25737,0.18423,1291.1
13800,6154.9,421.8,0.33984,0.05399,0.57407,0.11814,1311.1
13850,6383.8,442.9,0.08971,0.07263,0.03771,0.1781,1329.6
13900,6132.1,431.4,0.3167,-0.03529,0.70904,0.25284,1348.3
13950,6121.3,432.0,0.25046,0.06886,0.3664,0.16017,1366.7
14000,6294.7,435.8,0.28772,0.0232,0.53427,0.2622,1386.4
14050,6350.0,433.3,0.46467,0.04146,0.85148,0.25243,1405.1
14100,5925.9,410.9,0.23365,0.08502,0.30062,0.16783,1422.4
14150,5715.7,405.8,0.18461,0.12135,0.13077,0.21243,1439.8
14200,5759.6,403.2,0.2034,0.14163,0.1292,0.28313,1457.4
14250,5645.2,395.5,0.26102,0.09218,0.34126,0.17944,1474.3
14300,5822.6,411.5,0.12957,0.10967,0.04383,0.20201,1492.7
14350,6022.4,422.4,0.16165,0.12964,0.06804,0.20112,1510.6
14400,5684.8,393.0,0.25166,0.09295,0.32346,0.30173,1527.5
14450,5702.4,393.0,0.3831,-0.03828,0.84761,0.24234,1545.3
14500,6086.7,436.5,0.27669,0.0551,0.4475,0.21627,1563.7
14550,6109.4,432.6,0.13645,0.02215,0.23221,0.18046,1582.1
14600,5869.0,409.9,0.28466,0.02729,0.51658,0.0922,1599.6
14650,5800.8,406.1,0.80793,-0.05388,1.72575,0.10648,1617.5
14700,5677.8,382.7,0.14476,0.03133,0.22863,0.08835,1634.4
14750,5424.3,380.2,0.10553,-0.00049,0.21377,0.08674,1650.6
14800,5329.8,384.0,0.58775,-0.1091,1.39818,0.22421,1667.1
14850,5550.5,387.2,0.23331,-0.01142,0.49299,0.17662,1684.8
14900,6011.2,411.5,0.14548,0.05938,0.17563,0.1714,1703.8
14950,6242.1,426.2,0.30808,0.06288,0.49278,0.11899,1722.6
15000,6013.0,418.6,0.12263,0.06484,0.11853,0.14757,1740.3
15050,5436.3,380.2,0.11566,-0.01058,0.25456,0.10462,1756.5
15100,5529.2,390.1,0.14343,0.02683,0.23525,0.10266,1774.7
15150,6011.1,425.9,0.58274,-0.10482,1.37869,0.17788,1793.1
15200,6183.8,431.4,0.14627,0.04833,0.1991,0.1609,1812.1
15250,6417.2,449.0,0.27103,0.01624,0.51239,0.14012,1831.5
15300,6160.2,429.1,0.25604,0.03695,0.44049,0.11537,1849.4
15350,5665.1,398.1,0.08526,0.04263,0.08781,0.12714,1866.1
15400,5904.4,425.6,0.18306,0.0404,0.28806,0.13638,1884.6
15450,6671.0,473.0,0.31942,0.04362,0.55429,0.13437,1905.3
