episode,avg_score,avg_max_tile,actor_loss,critic_loss,elapsed_s
10,8805.2,665.6,1.21258,0.99685,527.6
20,8552.2,640.0,1.22659,0.99236,1036.5
30,9582.0,733.9,1.21328,0.99169,1694.0
40,9617.0,742.4,1.21363,0.98276,2264.6
50,9812.0,752.6,1.21486,0.98538,2930.2
60,9695.4,731.7,1.21847,0.98247,3488.0
70,9672.3,740.6,1.20959,0.9756,4034.5
80,9767.0,748.8,1.20591,0.97692,4630.5
90,9753.5,750.9,1.20603,0.96413,5194.2
100,9539.7,734.7,1.21555,0.96145,5663.3
110,9774.8,750.1,1.20262,0.95805,6307.0
120,9838.0,762.9,1.19282,0.96217,6824.5
130,9876.1,762.9,1.20098,0.96449,7488.6
140,9761.8,750.1,1.19992,0.94598,8002.1
150,9776.9,752.6,1.18142,0.95388,8617.6
160,10079.4,782.1,1.18223,0.94494,9310.2
170,10037.2,777.0,1.17875,0.93985,9849.2
180,9908.2,762.9,1.18799,0.93721,10387.2
190,10179.6,778.2,1.15898,0.9432,11081.2
200,10157.0,775.7,1.1668,0.91436,11519.2
210,9800.8,750.1,1.14847,0.9009,11976.2
220,9763.0,738.6,1.1427,0.90365,12491.2
230,9495.5,713.0,1.12479,0.89818,13054.8
240,9559.5,715.5,1.11839,0.91862,13599.5
250,9411.6,700.2,1.09279,0.85361,14159.0
260,9513.4,715.5,1.0803,0.8985,14877.4
270,9875.6,733.4,1.07882,0.90223,15606.0
280,9912.2,741.1,1.05549,0.86515,16166.6
290,9542.3,713.0,1.03605,0.82792,16705.4
300,9908.7,748.8,1.02249,0.89814,17344.0
310,9892.0,748.8,0.99039,0.85357,17812.5
320,9741.1,739.8,0.97067,0.75991,18278.1
330,9605.4,734.7,0.948,0.78659,18804.7
340,9778.3,750.1,0.9243,0.83198,19482.8
350,9936.5,768.0,0.89246,0.84348,20151.5
360,9587.5,727.0,0.8536,0.73225,20795.3
370,9289.9,707.8,0.83777,0.81722,21441.0
380,9460.5,718.1,0.80595,0.9326,22152.2
390,9367.9,707.8,0.80692,0.69836,22706.9
400,9078.6,678.4,0.78394,0.85712,23273.7
410,9284.0,691.2,0.75922,0.71521,23938.8
420,9668.1,711.7,0.6886,0.76771,24702.9
430,9921.7,737.3,0.69217,0.93134,25394.8
440,10073.2,742.4,0.67099,0.90562,26259.2
450,9819.6,719.4,0.68385,0.77506,26872.6
460,9665.0,720.0,0.65353,0.75978,27450.2
470,9951.8,729.0,0.63048,0.79052,28390.6
480,9390.0,691.8,0.64117,0.79914,28834.5
490,9780.8,722.6,0.59685,0.80649,29673.6
500,9813.2,726.4,0.61715,0.79413,30304.9
510,9802.2,726.4,0.62584,0.71208,30992.7
520,9535.5,716.2,0.60761,0.71407,31617.8
